BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,RS_CIN_DL,RSRP,UE_Clutter,LOS,First_Diffraction,Last_Diffraction,Indoor_Path,Outdoor_Path,Penetrations_BT1,Penetration_Distance_BT1,Percent_Propagation_Path_BT1,Penetrations_BT2,Penetration_Distance_BT2,Percent_Propagation_Path_BT2,Penetrations_Trees,Penetration_Distance_Trees,Percent_Propagation_Path_Trees,Penetrations_Bridge,Penetration_Distance_Bridge,Percent_Propagation_Path_Bridge,Total_Penetrations,Propagation_Path,Log_Propagation_Path,BS_X,BS_Y,BS_Z,UE_X,UE_Y,UE_Z,Manhattan_Distance,Pathloss,BS_Clutter
0,179,32,595.2,41.322,-3.5092,2.3695,-84.524,5,0,35.867,0,30.699,563.68,0,0,0,2,30.699,100,0,0,0,0,0,0,2,594.38,2.7741,5.9507e+05,5.6329e+06,72,5.9468e+05,5.6325e+06,37.5,840,123.5,4
0,200,32,427.48,55.195,-6.4729,4.6418,-84.961,10,0,0,0,113.21,313.4,0,0,0,3,113.21,100,0,0,0,0,0,0,3,426.62,2.63,5.9526e+05,5.6327e+06,94,5.9491e+05,5.6325e+06,45.5,595,123.94,1
0,306,32,392.98,47.991,-6.1725,21.516,-85.711,5,0,0,0,56.262,336.05,0,0,0,4,56.262,100,0,0,0,0,0,0,4,392.32,2.5936,5.9526e+05,5.6327e+06,94,5.9497e+05,5.6325e+06,51.5,555,124.69,1
0,179,32,447.64,7.3155,-2.2388,9.2438,-72.649,5,1,169.09,0,0,447.55,0,0,0,0,0,100,0,0,0,0,0,0,0,447.55,2.6508,5.9507e+05,5.6329e+06,72,5.9501e+05,5.6325e+06,66.5,501,111.63,4
0,179,32,447.15,4.1039,-1.9853,3.6168,-79.649,27,0,302.61,0,47.444,399.62,0,0,0,3,47.444,100,0,0,0,0,0,0,3,447.06,2.6504,5.9507e+05,5.6329e+06,72,5.9504e+05,5.6325e+06,55.5,478,118.63,4
0,179,32,459.39,2.3704,-1.8079,4.4062,-79.086,5,0,283.43,0,23.648,435.67,0,0,0,2,23.648,100,0,0,0,0,0,0,2,459.31,2.6621,5.9507e+05,5.6329e+06,72,5.9505e+05,5.6325e+06,57.5,478,118.06,4
0,200,32,310.16,32.358,-6.1645,1.5845,-83.649,7,0,204.49,0,117.5,192.36,0,0,0,4,117.5,100,0,0,0,0,0,0,4,309.86,2.4912,5.9526e+05,5.6327e+06,94,5.951e+05,5.6325e+06,60.5,428,122.63,1
0,200,32,311.31,35.324,-6.3238,2.2851,-81.649,7,0,118.19,0,121.68,189.29,0,0,0,7,121.68,100,0,0,0,0,0,0,7,310.97,2.4927,5.9526e+05,5.6327e+06,94,5.9508e+05,5.6325e+06,58.5,434,120.63,1
0,200,32,258.12,5.3351,-5.2021,20.071,-74.649,27,0,228.78,0,58.362,199.71,0,0,0,2,58.362,100,0,0,0,0,0,0,2,258.07,2.4117,5.9526e+05,5.6327e+06,94,5.9524e+05,5.6325e+06,69.5,281,113.63,1
0,200,32,733.03,71.219,-4.7182,0.47593,-95.524,5,0,0,0,57.308,673.82,0,0,0,4,57.308,100,0,0,0,0,0,0,4,731.13,2.864,5.9526e+05,5.6327e+06,94,5.9457e+05,5.6325e+06,33.5,930,134.5,1
0,179,32,580.85,43.116,-3.6939,1.9134,-84.524,5,0,27.265,0,38.777,541.22,0,0,0,3,38.777,100,0,0,0,0,0,0,3,580,2.7634,5.9507e+05,5.6329e+06,72,5.9467e+05,5.6325e+06,34.5,821,123.5,4
0,200,32,472.63,61.157,-6.4582,1.8607,-72.899,5,0,0,0,0,471.56,0,0,0,0,0,100,0,0,0,0,0,0,0,471.56,2.6735,5.9526e+05,5.6327e+06,94,5.9485e+05,5.6325e+06,53.5,642,111.88,1
